,disease_name,n_people,pct_of_med_users
214,Prevent hypokalemia,7,0.1
215,Other symptoms and signs involving the circulatory and respiratory system,7,0.1
216,Unspecified abdominal hernia,7,0.1
217,"Chronic ischemic heart disease, unspecified",7,0.1
218,Neoplasm of unspecified behavior of unspecified site,7,0.1
219,Obsessive-compulsive disorder,6,0.1
220,Disorders of phosphorus metabolism and phosphatases,6,0.1
221,"Disorder involving the immune mechanism, unspecified",6,0.1
222,Flatulence and related conditions,6,0.1
223,Other postprocedural states,6,0.1
224,Disturbances of skin sensation,6,0.1
225,Prevent atherosclerosis,6,0.1
226,Presence of other functional implants,6,0.1
227,Unspecified cataract,5,0.1
228,Partial loss of teeth,5,0.1
229,Diverticular disease of intestine,5,0.1
230,"Disorder of adrenal gland, unspecified",5,0.1
231,Prevent nausea or vomiting,5,0.1
232,"Endocrine disorder, unspecified",5,0.1
233,"Dermatitis, unspecified",5,0.1
234,Unspecified viral hepatitis,5,0.1
235,Prevent urinary tract infection,5,0.1
236,Type 2 diabetes mellitus with unspecified complications,4,0.1
237,Pulmonary embolism,4,0.1
238,Acute tonsillitis,4,0.1
239,Prevent liver disease,4,0.1
240,Abnormal involuntary movements,4,0.1
241,Prevent viral infection,4,0.1
242,"Synovitis and tenosynovitis, unspecified",4,0.1
243,Unspecified hemorrhoids,3,0.0
244,Encounter for other specified postprocedural aftercare,3,0.0
245,Prevent ear infection,3,0.0
246,Prevent cancer,3,0.0
247,Unspecified disorder of nose and nasal sinuses,3,0.0
248,Type 1 diabetes mellitus with neurological complications,1,0.0
249,Prevent ovarian problem,1,0.0
250,Prevent prostate cancer,1,0.0
251,Prevent flu,1,0.0
