code,code and name
SLQ050,SLQ050 - Ever told doctor had trouble sleeping?
SLQ120,SLQ120 - How often feel overly sleepy during day?
SMQ020,SMQ020 - Smoked at least 100 cigarettes in life
SMD030,SMD030 - Age started smoking cigarettes regularly
SMQ040,SMQ040 - Do you now smoke cigarettes?
SMQ050Q,SMQ050Q - How long since quit smoking cigarettes
SMQ050U,SMQ050U - Unit of measure (day/week/month/year)
SMD057,SMD057 - # cigarettes smoked per day when quit
SMQ078,SMQ078 - How soon after waking do you smoke
SMD641,SMD641 - # days smoked cigs during past 30 days
SMD650,SMD650 - Avg # cigarettes/day during past 30 days
SMD100FL,SMD100FL - Cigarette Filter type
SMD100MN,SMD100MN - Cigarette Menthol indicator
SMQ670,SMQ670 - Tried to quit smoking
SMQ621,SMQ621 - Cigarettes smoked in entire life
SMD630,SMD630 - Age first smoked whole cigarette
SMAQUEX2,SMAQUEX2 - Questionnaire Mode Flag
WHD010,WHD010 - Current self-reported height (inches)
WHD020,WHD020 - Current self-reported weight (pounds)
WHQ030,WHQ030 - How do you consider your weight
WHQ040,"WHQ040 - Like to weigh more, less or same"
WHD050,WHD050 - Self-reported weight - 1 yr ago (pounds)
WHQ060,WHQ060 - Weight change intentional
WHQ070,WHQ070 - Tried to lose weight in past year
WHD080A,WHD080A - Ate less to lose weight
WHD080B,WHD080B - Switched to foods with lower calories
WHD080C,WHD080C - Ate less fat to lose weight
WHD080D,WHD080D - Exercised to lose weight
WHD080E,WHD080E - Skipped meals
WHD080F,WHD080F - Ate diet foods or products
WHD080G,WHD080G - Used a liquid diet formula
WHD080H,WHD080H - Joined a weight loss program
WHD080I,WHD080I - Took prescription diet pills
WHD080J,WHD080J - Took non-RX suppl. to lose weight
WHD080K,WHD080K - Took laxatives or vomited
WHD080M,WHD080M - Drank a lot of water
WHD080N,WHD080N - Followed a special diet
WHD080O,WHD080O - Ate fewer carbohydrates
WHD080P,WHD080P - Started to smoke or began to smoke again
WHD080Q,"WHD080Q - Ate more fruits, vegetables, salads"
WHD080R,WHD080R - Changed eating habits
WHD080S,"WHD080S - Ate less sugar, candy, sweets"
WHD080T,WHD080T - Ate less junk food or fast food
WHD080U,WHD080U - Had weight loss surgery to lose weight
WHD080L,WHD080L - Other
WHQ225,WHQ225 - Times lost 10 lbs or more to lose weight
WHD110,WHD110 - Self-reported weight-10 yrs ago (pounds)
WHD120,WHD120 - Self-reported weight-age 25 (pounds)
WHD130,WHD130 - Self-reported height - age 25 (inches)
WHD140,WHD140 - Self-reported greatest weight (pounds)
WHQ150,WHQ150 - Age when heaviest weight
